City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,Tommot,58.9564,126.2925,-24.38,98,6,1.52,RU,2022-01-19 07:37:25
91,Shieli,44.1667,66.75,32.86,99,100,16.11,KZ,2022-01-19 07:38:25
92,Busselton,-33.65,115.3333,108.05,32,0,13.65,AU,2022-01-19 07:33:17
93,Christchurch,-43.5333,172.6333,66.9,83,20,5.01,NZ,2022-01-19 07:35:03
94,Jiazi,22.8779,116.067,67.39,59,0,11.1,CN,2022-01-19 07:38:26
95,Naze,28.3667,129.4833,59.92,58,6,13.24,JP,2022-01-19 07:38:26
96,Cherskiy,68.75,161.3,-47.25,99,54,4.21,RU,2022-01-19 07:38:26
97,Lavrentiya,65.5833,-171.0,-19.57,94,40,6.69,RU,2022-01-19 07:38:27
98,Mersing,2.4312,103.8405,84.11,70,40,14.97,MY,2022-01-19 07:38:27
99,Hofn,64.2539,-15.2082,21.94,70,50,18.3,IS,2022-01-19 07:38:27
100,Kailua,21.4022,-157.7394,71.58,73,14,2.42,US,2022-01-19 07:38:28
101,Victoria,22.2855,114.1577,72.18,68,0,1.01,HK,2022-01-19 07:38:12
102,Carnarvon,-24.8667,113.6333,84.27,74,8,17.27,AU,2022-01-19 07:38:28
103,Constitucion,-35.3333,-72.4167,50.61,62,0,7.47,CL,2022-01-19 07:30:56
104,Santa Isabel Do Rio Negro,-0.4139,-65.0192,71.73,99,96,2.42,BR,2022-01-19 07:38:29
105,Iskateley,67.6803,53.1512,3.11,97,93,9.15,RU,2022-01-19 07:38:29
106,Karratha,-20.7377,116.8463,88.21,55,0,12.55,AU,2022-01-19 07:38:29
107,Puerto Madero,14.7208,-92.4215,73.6,100,20,2.3,MX,2022-01-19 07:38:30
108,Sarangarh,21.6,83.0833,75.16,19,0,4.05,IN,2022-01-19 07:38:30
109,Dulce Nombre De Culmi,15.1,-85.5333,61.72,96,49,2.06,HN,2022-01-19 07:38:31
110,Kasongo-Lunda,-6.4667,16.8167,75.56,80,94,1.25,CD,2022-01-19 07:38:31
111,Jensen Beach,27.2545,-80.2298,56.08,85,0,1.01,US,2022-01-19 07:38:31
112,Anchorage,61.2181,-149.9003,28.67,83,100,0.0,US,2022-01-19 07:35:23
113,Gorontalo,0.5412,123.0595,81.48,84,89,1.23,ID,2022-01-19 07:38:32
114,Kapaa,22.0752,-159.319,73.38,72,20,4.61,US,2022-01-19 07:34:31
115,Huainan,32.6264,116.9969,52.66,53,2,6.87,CN,2022-01-19 07:38:32
116,Muisne,0.6,-80.0333,74.77,94,100,4.59,EC,2022-01-19 07:38:33
117,Todos Santos,23.45,-110.2167,73.0,56,98,4.65,MX,2022-01-19 07:38:34
118,Avarua,-21.2078,-159.775,77.05,88,100,20.71,CK,2022-01-19 07:33:27
119,Namibe,-15.1961,12.1522,73.02,66,100,4.63,AO,2022-01-19 07:38:34
120,Itoman,26.1247,127.6694,64.42,51,75,10.36,JP,2022-01-19 07:38:35
121,Kropotkin,45.4375,40.5756,28.36,89,100,7.74,RU,2022-01-19 07:38:35
122,Araouane,18.9048,-3.5265,58.46,17,0,9.33,ML,2022-01-19 07:38:35
123,Ambulu,-8.345,113.6058,81.03,81,82,7.99,ID,2022-01-19 07:38:36
124,Bandarbeyla,9.4942,50.8122,80.46,64,68,13.89,SO,2022-01-19 07:38:36
125,Najran,17.4924,44.1277,65.05,40,0,2.73,SA,2022-01-19 07:38:36
126,Provideniya,64.3833,-173.3,-12.1,92,16,5.5,RU,2022-01-19 07:38:37
127,Fengrun,39.8333,118.1167,29.75,28,11,5.14,CN,2022-01-19 07:38:37
128,Chuy,-33.6971,-53.4616,72.09,96,100,11.74,UY,2022-01-19 07:38:37
129,Sakaiminato,35.55,133.2333,42.73,87,40,10.36,JP,2022-01-19 07:38:38
130,Mar Del Plata,-38.0023,-57.5575,68.09,93,100,1.99,AR,2022-01-19 07:34:22
131,Kirakira,-10.4544,161.9205,81.48,81,27,2.66,SB,2022-01-19 07:38:38
132,Tchibanga,-2.85,11.0333,77.14,82,41,0.76,GA,2022-01-19 07:38:38
